govt_hospital_id,hospital_name,latitude,longitude,available_non_critical,available_critical_without_vent,available_critical_with_vent,er_queue,hospital_phone,readiness_score,last_update
3000002,"Action Cancer Hospital, FC-34,A-4 Paschim Vihar",,,0,0,0,20,8376904111,-20,6/8/2026 3:10:36 AM
3000003,"Kottakkal Arya Vaidya Sala, Karkardooma, Delhi-110092",,,0,0,0,3,011-22106500,-3,6/8/2026 9:17:14 AM
3000004,"Batra Hospital, 1MB Road, Tughlaqabad, Institutional Area, New Delhi-110062",,,28,0,0,0,29958747,28,3/17/2026 12:30:51 PM
3000006,Bhagwan  Mahavir  Hospital,28.6884652,77.1179084,4,1,0,23,27550441-42,-16,
3000008,"Dr. B.L Kapur Memorial Hospital,  Pusa Road,New Delhi-110005",,,11,7,0,8,30403040,24,6/8/2026 9:56:29 AM
3000009,"Delhi ENT Hospital & Research Centre, Jasola",,,0,0,0,7,9811000001,-7,2/2/2023 7:57:24 PM
3000010,FLT. LT. RAJAN DHALL HOSPITAL,,,11,1,1,7,011-42776222,12,3/14/2026 10:59:27 PM
3000011,Max Smart Super Specialty Hospital,,,0,9,0,4,01171212121,23,6/6/2026 5:13:12 PM
3000012,"Indian Spinal Injuries Centre, Opp. Police Station, Sector –C, Vasant Kunj, Delhi-110070",,,0,1,2,23,011-42255200,-10,3/17/2026 1:52:23 PM
3000013,"Khosla Medical Institute & Research Society, K.M.I.& R. Centre, Paschim Shalimar Bagh, New Delhi",,,4,0,0,3,27479501,1,
3000014,Mata Channan Devi Hospital,,,17,2,1,21,45582000,7,2/2/2023 7:59:27 PM
3000015,Maharaja Agrasen Punjabi Bagh,28.6740586,77.1340566,13,1,0,23,011-40777777,-7,6/8/2026 12:57:54 PM
3000016,"Mai Kamli Wali Ch. Hospital Plot No.12, J-Block, Community Centre, Rajouri Garden, Delhi-27",,,4,1,0,28,011-45609999,-21,3/7/2026 11:13:05 AM
3000017,"National Chest Institute, Opp. A-133, Niti Bagh,Gautam Nagar, Delhi-110092",,,2,0,0,17,9212248884,-15,3/14/2026 2:05:57 PM
3000018,"National Heart Institute, 49, Community Centre, East of Kailash, Delhi-110065",,,0,0,0,2,9810684340,-2,6/6/2026 10:10:42 AM
3000019,"Primus Super Speciality (Veeranwali International Hospital) Chander Gupta Road, Chankapuri, Delhi-110021",,,12,0,0,18,66206620,-6,2/28/2024 4:34:09 PM
3000020,"Jeevan Anmol Hospital, Mayur Vihar, Phase-I, Delhi-110091",,,8,0,1,13,011-22750380,0,10/8/2025 5:06:09 PM
3000021,PUSHPAWATI SINGHANIA HOSPITAL & RESERACH INSTITUTE,,,11,3,1,1,011-30611895,24,6/6/2026 9:32:53 AM
3000023,"Medeor Hospital,Qutab",28.5374268,77.1810928,8,2,0,0,01141222222,14,4/16/2024 12:37:36 PM
3000024,"Saroj Hospital, Sector-14, Extn.Near Madhuban Chowk, Rohini, Delhi-110085",,,2,0,1,2,011-27903333,5,3/17/2026 4:38:05 PM
3000025,"Shanti Mukand Hospital, 2 Institutional Area, Vikas Marg Extn. Vikas Marg, Delhi-110092",,,4,1,1,6,011-47276600,6,3/14/2026 12:28:49 PM
3000026,Sir Ganga Ram Hospital,28.6385276,77.189693,0,0,0,7,011-42251701,-7,6/8/2026 1:48:07 PM
3000027,Venu Eye Institute & Research Centre,,,20,0,0,16,9971110470,4,
3000028,"Bhagwati Hospital, C-5/OCF-6, Sector-13, Rohini, Delhi-110085",,,0,0,0,19,43126000,-19,3/9/2026 3:09:57 PM
3000029,Dharamshila Narayana Superspeciality Hospital,28.6026249,77.3138138,10,0,0,0,011-43066533,10,2/16/2026 1:52:28 PM
3000031,"Fortis Escorts Heart Institute, Okhla Road,  New Delhi-110025",,,7,0,0,17,47135000,-10,5/5/2026 5:16:06 PM
3000032,Max Patparganj,28.6332171,77.3089195,0,1,0,6,011-43033333,-3,6/6/2026 4:35:12 PM
3000033,Max Saket (East),,,20,5,0,22,26515050,13,2/28/2026 4:56:53 PM
3000034,"Jaipur Golden Hospital,2-Institutional Area, Sector-3, Rohini, Delhi-110085",,,8,0,3,20,011-27907000,3,2/17/2026 9:00:09 AM
3000035,"Sri Balaji Action Medical Institute FC-34, A-4, Paschim Vihar New Delhi",,,1,3,2,22,8376904103,-2,3/17/2026 10:01:05 AM
3000037,"VIMHANS HOSPITAL,NEHRU NAGAR NEW DELHI",,,9,1,0,17,9999691507,-5,5/27/2026 5:27:12 PM
