Hospital ID,Hospital Name,Total Free Bed,Total Free Critical Bed (without ventilator),Total Free Critical Bed (with ventilator),Total Free Non-Critical Bed,Available Free Critical Bed (without ventilator),Available Free Critical Bed (with ventilator),Available Free Non-Critical Bed,Hospital Phone no.,Cotact Person Name,Contact Person Mobile,Liason Officer Number,Last Update Date
3000002,"Action Cancer Hospital, FC-34,A-4 Paschim Vihar",13,1,1,11,-1,0,0,8376904111,MS ANITA,8376904111,011-49222222,6/8/2026 3:10:36 AM
3000003,"Kottakkal Arya Vaidya Sala, Karkardooma, Delhi-110092",5,0,0,5,0,0,0,011-22106500,Dr. Premsankar V R,+91-9868451894,011-22106500,6/8/2026 9:17:14 AM
3000004,"Batra Hospital, 1MB Road, Tughlaqabad, Institutional Area, New Delhi-110062",50,6,0,44,-5,0,28,29958747,Dr.Niranjan Rawat Addl. M.S./ Dr. Naveen Kumar,7982216932,29958747,3/17/2026 12:30:51 PM
3000006,Bhagwan  Mahavir  Hospital,5,1,0,4,1,0,4,27550441-42,Dr. R.K.S Chauhan,9891247037,011-49402744,
3000008,"Dr. B.L Kapur Memorial Hospital,  Pusa Road,New Delhi-110005",54,14,2,38,7,-1,11,30403040,nar,8448386700,8448386700,6/8/2026 9:56:29 AM
3000009,"Delhi ENT Hospital & Research Centre, Jasola",3,0,0,3,-6,0,-65,9811000001,Mr. Rakesh Kumar,9015023043,011-40391499,2/2/2023 7:57:24 PM
3000010,FLT. LT. RAJAN DHALL HOSPITAL,16,4,1,11,1,1,11,011-42776222,Dr. DHEERAJ P ARYA,98109-02575,011-42776222,3/14/2026 10:59:27 PM
3000011,Max Smart Super Specialty Hospital,41,17,0,24,9,-2,-2,01171212121,Hansraj,9810243328,01171212121,6/6/2026 5:13:12 PM
3000012,"Indian Spinal Injuries Centre, Opp. Police Station, Sector –C, Vasant Kunj, Delhi-110070",20,1,2,17,1,2,0,011-42255200,Ms. Manisha Paul,9013573482,011-42255248,3/17/2026 1:52:23 PM
3000013,"Khosla Medical Institute & Research Society, K.M.I.& R. Centre, Paschim Shalimar Bagh, New Delhi",5,0,0,5,0,0,4,27479501,Aruna Guha,9811007624,27479502,
3000014,Mata Channan Devi Hospital,21,2,1,18,2,1,17,45582000,Dr. A C SHUKLA,9811560885,45582000,2/2/2023 7:59:27 PM
3000015,Maharaja Agrasen Punjabi Bagh,30,8,1,21,1,0,13,011-40777777,Dr. Suparna,9958691524,9868612344,6/8/2026 12:57:54 PM
3000016,"Mai Kamli Wali Ch. Hospital Plot No.12, J-Block, Community Centre, Rajouri Garden, Delhi-27",5,1,0,4,1,0,4,011-45609999,DR SEEMA SEHGAL,01125933166,011-45609999,3/7/2026 11:13:05 AM
3000017,"National Chest Institute, Opp. A-133, Niti Bagh,Gautam Nagar, Delhi-110092",3,0,0,3,0,0,2,9212248884,Anjali Dhingra,9212248884,011-46558679,3/14/2026 2:05:57 PM
3000018,"National Heart Institute, 49, Community Centre, East of Kailash, Delhi-110065",8,3,0,5,0,0,-1,9810684340,Mrs. Chandra Zadoo,9810684340,011-46600700,6/6/2026 10:10:42 AM
3000019,"Primus Super Speciality (Veeranwali International Hospital) Chander Gupta Road, Chankapuri, Delhi-110021",12,0,0,12,0,0,12,66206620,Sh. B.K Dadu,9999920206,011-66206620,2/28/2024 4:34:09 PM
3000020,"Jeevan Anmol Hospital, Mayur Vihar, Phase-I, Delhi-110091",10,0,1,9,0,1,8,011-22750380,Mr. Suresh Sharma / TASAWWAR  HUSAIN,9958506848,8448277596,10/8/2025 5:06:09 PM
3000021,PUSHPAWATI SINGHANIA HOSPITAL & RESERACH INSTITUTE,20,3,1,16,3,1,11,011-30611895,Dr.  Anju Wali,9582261501,9582261501,6/6/2026 9:32:53 AM
3000023,"Medeor Hospital,Qutab",10,2,0,8,2,0,8,01141222222,Dr. Rohit Gahlawat,7206733363,01141222222,4/16/2024 12:37:36 PM
3000024,"Saroj Hospital, Sector-14, Extn.Near Madhuban Chowk, Rohini, Delhi-110085",15,2,1,12,-2,1,2,011-27903333,Dr. Dhiraj Malik/Mrs.Ruby Monga,9811282538,7290095340,3/17/2026 4:38:05 PM
3000025,"Shanti Mukand Hospital, 2 Institutional Area, Vikas Marg Extn. Vikas Marg, Delhi-110092",7,1,1,5,1,1,4,011-47276600,DR. SANDEEP MITTAL,01147276602,9312634043,3/14/2026 12:28:49 PM
3000026,Sir Ganga Ram Hospital,74,0,16,58,0,0,-35,011-42251701,Ms Mili Sehgal    9AM-5PM/DMS 24 hours,011-42251701,011-42251054,6/8/2026 1:48:07 PM
3000027,Venu Eye Institute & Research Centre,20,0,0,20,0,0,20,9971110470,Dr Abhishek Dagar,9971110470,29251155-56,
3000028,"Bhagwati Hospital, C-5/OCF-6, Sector-13, Rohini, Delhi-110085",12,1,1,10,0,-1,-1,43126000,DR.NARESH PAMNANI,9811207171,7290095340,3/9/2026 3:09:57 PM
3000029,Dharamshila Narayana Superspeciality Hospital,22,2,1,19,0,0,10,011-43066533,PUNEET KUMAR,011-43066533,011-43066533,2/16/2026 1:52:28 PM
3000031,"Fortis Escorts Heart Institute, Okhla Road,  New Delhi-110025",31,15,0,16,-2,0,7,47135000,Ms.Sushma Sapra,9818898477,47135000,5/5/2026 5:16:06 PM
3000032,Max Patparganj,40,14,0,26,1,-1,0,011-43033333,SUNIL KUMAR,8800913222,011-43033333,6/6/2026 4:35:12 PM
3000033,Max Saket (East),32,7,2,23,5,-2,20,26515050,Neha Kohli,9971153354,26515050,2/28/2026 4:56:53 PM
3000034,"Jaipur Golden Hospital,2-Institutional Area, Sector-3, Rohini, Delhi-110085",24,3,3,18,-4,3,8,011-27907000,DR RAKESH AHUJA,9205112666,7701980569,2/17/2026 9:00:09 AM
3000035,"Sri Balaji Action Medical Institute FC-34, A-4, Paschim Vihar New Delhi",28,7,2,19,3,2,1,8376904103,AMS on duty,8376904103,011-42888888,3/17/2026 10:01:05 AM
3000037,"VIMHANS HOSPITAL,NEHRU NAGAR NEW DELHI",10,1,0,9,1,0,9,9999691507,PRAMOD TRIPATHI,9818797286,011-40990000,5/27/2026 5:27:12 PM
3000038,"Mool Chand Khairati Ram Trust & Hospital, Ring Road Lajpat Nagar, Delhi-110024",14,2,1,11,2,-1,4,011-42000000,Prerna negi,9953495337,9953420079,2/27/2026 1:08:45 PM
3000040,AYUSHMAN HOSPITAL & HEALTH SERVICES,10,1,1,8,-12,-1,1,01149495555,Dr. Anita Mor,9205481439,9312048849,5/11/2026 7:29:09 PM
3000041,MAX SUPER SPECIALTY HOSPITAL SHALIMAR BAGH,40,16,0,24,0,0,1,8448974009,Mr. Nitesh Vaish,8448974009,7678531107,6/8/2026 12:30:03 PM
3000042,Vinayak Hospital,4,1,0,3,1,0,3,011-40200500-05,Dr. Subhash Agarwal (MD),01140200500-05,9311082078,2/18/2026 2:26:06 PM
3000043,MGS Super Specialty Hospital,13,0,2,11,-2,2,7,011-45111444,DR. PAWAN KHURANA,8447734489,011-45111444,3/6/2026 11:42:18 AM
3000285,Janki Das Kapoor Memorial Hospital,3,,,3,,,3,01125705811,,,,
3000494,Red Cross Hospital Society Mat Welfare & Child Care Hospital,4,0,0,4,0,0,4,9971889303,Ms.HUMA KHAN (NODAL OFFICER),8383961600,22118752,
3000690,Jivodaya Hospital,5,0,0,5,0,0,5,011-40395182,Sr Deepthi S D,9990223699,01140395182,11/11/2024 10:32:02 AM
3000691,Sitaram Bharti Institute of Science & Research,7,0,1,6,0,1,3,01142111111,Ms Irina Sharma,9650033827,01142111111,3/17/2026 8:13:22 AM
3000692,Guru Harkrishan Hospital,5,0,0,5,0,0,5,"01126346472,011",PARAMJEET SINGH,9540079965,"01126346472,37",
3000693,MEDEOR HOSPITAL DWARKA,9,0,2,7,0,2,7,011-48222222,Dr. Rajiv Chandra,9650615599,011-48222222,1/30/2023 12:51:35 PM
