govt_hospital_id,hospital_name,latitude,longitude,available_non_critical,available_critical_without_vent,available_critical_with_vent,er_queue,hospital_phone,readiness_score,last_update
3000004,"Batra Hospital, 1MB Road, Tughlaqabad, Institutional Area, New Delhi-110062",28.512223,77.243279,28,0,0,0,29958747,28,3/17/2026 12:30:51 PM
3000008,"Dr. B.L Kapur Memorial Hospital,  Pusa Road,New Delhi-110005",28.645618,77.197278,11,7,0,8,30403040,24,6/8/2026 9:56:29 AM
3000010,"Fortis FLT. LT. RAJAN DHALL HOSPITAL",28.519188,77.160313,11,1,1,7,011-42776222,12,3/14/2026 10:59:27 PM
3000011,"Max Smart Super Specialty Hospital , Press Enclave Marg, Saket District Centre, New Delhi (110017)",28.5279366,77.2149466,0,9,0,4,01171212121,23,6/6/2026 5:13:12 PM
3000012,"Indian Spinal Injuries Centre, Opp. Police Station, Sector –C, Vasant Kunj, Delhi-110070",28.5331416,77.142131,0,1,2,23,011-42255200,-10,3/17/2026 1:52:23 PM
3000014,"Mata Channan Devi Hospital",28.6189,77.0783,17,2,1,21,45582000,7,2/2/2023 7:59:27 PM
3000015,Maharaja Agrasen Punjabi Bagh,28.6740586,77.1340566,13,1,0,23,011-40777777,-7,6/8/2026 12:57:54 PM
3000021,"PUSHPAWATI SINGHANIA HOSPITAL & RESERACH INSTITUTE",28.5326688, 77.2250587,11,3,1,1,011-30611895,24,6/6/2026 9:32:53 AM
3000023,"Medeor Hospital,Qutab",28.5374268,77.1810928,8,2,0,0,01141222222,14,4/16/2024 12:37:36 PM
3000025,"Shanti Mukand Hospital, 2 Institutional Area, Vikas Marg Extn. Vikas Marg, Delhi-110092",28.6457217,77.3016681,4,1,1,6,011-47276600,6,3/14/2026 12:28:49 PM
3000026,"Sir Ganga Ram Hospital",28.6385276,77.189693,0,0,0,7,011-42251701,-7,6/8/2026 1:48:07 PM
3000029,"Dharamshila Narayana Superspeciality Hospital",28.6026249,77.3138138,10,0,0,0,011-43066533,10,2/16/2026 1:52:28 PM
3000031,"Fortis Escorts Heart Institute, Okhla Road,  New Delhi-110025",28.5607077,77.2739542,7,0,0,17,47135000,-10,5/5/2026 5:16:06 PM
3000032,"Max Hospital Patparganj",28.6332171,77.3089195,0,1,0,6,011-43033333,-3,6/6/2026 4:35:12 PM
3000034,"Jaipur Golden Hospital,2-Institutional Area, Sector-3, Rohini, Delhi-110085",28.697727,77.1093369,8,0,3,20,011-27907000,3,2/17/2026 9:00:09 AM
3000041,"MAX SUPER SPECIALTY HOSPITAL SHALIMAR BAGH , FC 50, Max Wali Rd, C and D Block, Shalimar Place Site, Shalimar Bagh, New Delhi - 110088, India",28.7162534,77.1562594,1,0,0,14,8448974009,-13,6/8/2026 12:30:03 PM
3000693,"MEDEOR HOSPITAL DWARKA",28.5964078,77.0455129,7,0,2,5,011-48222222,12,1/30/2023 12:51:35 PM
3000701,KAILASH DEEPAK HOSPITAL,28.6448914,77.3013744,11,0,0,10,01135353535,1,5/29/2026 12:43:10 PM
3000703,"Venkateshwar Hospital,Sector 12 Rd, Sector 18, Dwarka, New Delhi, Delhi 110075",28.5886,77.0380,9,0,0,4,48555555,5,1/29/2024 5:42:04 PM
3000707,"St. Stephens Hospital",28.4861482,77.1046488,40,1,0,10,01123957977,33,6/8/2026 2:16:34 PM
